I (675889) clare_net: recv kind=0 type=transcript len=94
I (675896) clare_net: recv kind=0 type=transcript len=94
I (676061) clare_net: recv kind=0 type=transcript len=94
I (676063) clare_net: recv kind=0 type=transcript len=94
I (676074) clare_net: recv kind=0 type=transcript len=97
I (676934) clare_net: recv kind=0 type=transcript len=97
I (676935) clare_net: recv kind=0 type=transcript len=103
I (676937) clare_net: recv kind=0 type=transcript len=103
I (676939) clare_net: recv kind=0 type=transcript len=103
I (676941) clare_net: recv kind=0 type=transcript len=106
I (677190) clare_net: recv kind=0 type=transcript len=106
I (677191) clare_net: recv kind=0 type=transcript len=106
I (677193) clare_net: recv kind=0 type=transcript len=106
I (677481) clare_net: recv kind=0 type=transcript len=109
I (677505) clare_net: recv kind=0 type=transcript len=109
I (677532) clare_net: recv kind=0 type=transcript len=109
I (677735) clare_net: recv kind=0 type=transcript len=115
I (677757) clare_net: recv kind=0 type=transcript len=115
I (677784) clare_net: recv kind=0 type=transcript len=115
I (677952) clare_net: recv kind=0 type=transcript len=115
I (677984) clare_net: recv kind=0 type=transcript len=115
I (678017) clare_net: recv kind=0 type=transcript len=115
I (678144) clare_net: recv kind=0 type=transcript len=115
I (678172) clare_net: recv kind=0 type=transcript len=115
I (678785) clare_net: recv kind=0 type=transcript len=117
I (680000) clare_net: recv kind=0 type=transcript len=79
I (680001) clare_net: recv kind=0 type=transcript len=79
I (680003) clare_net: recv kind=0 type=transcript len=79
I (680005) clare_net: recv kind=0 type=transcript len=79
I (680261) clare_net: recv kind=0 type=transcript len=79
I (680263) clare_net: recv kind=0 type=transcript len=79
I (680264) clare_net: recv kind=0 type=transcript len=82
I (680272) clare_net: recv kind=0 type=transcript len=84
I (682191) clare_net: recv kind=0 type=transcript len=85
I (682248) clare_net: recv kind=0 type=transcript len=85
I (682278) clare_net: recv kind=0 type=transcript len=85
I (682608) clare_net: recv kind=0 type=transcript len=91
I (683077) clare_net: recv kind=0 type=transcript len=91
I (683107) clare_net: recv kind=0 type=transcript len=91
I (683531) clare_net: recv kind=0 type=transcript len=97
I (683559) clare_net: recv kind=0 type=transcript len=97
I (684188) clare_net: recv kind=0 type=transcript len=97
I (684190) clare_net: recv kind=0 type=transcript len=100
I (684192) clare_net: recv kind=0 type=transcript len=100
I (684194) clare_net: recv kind=0 type=transcript len=100
I (684196) clare_net: recv kind=0 type=transcript len=100
I (687297) clare_net: recv kind=0 type=transcript len=106
I (687299) clare_net: recv kind=0 type=transcript len=106
I (687300) clare_net: recv kind=0 type=transcript len=106
